"word","similarity to model[[c(""man"", ""boy"", ""sir"", ""gentleman"", ""he"", ""his"", ""him"")]]"
"vendor",0.218202691647805
"accommodates",0.217936629811252
"girl's",0.217501590308162
"simpleton",0.216445908069953
"Auro",0.215787494039553
"Ascot",0.215669195311518
"nobleman",0.215587585463849
"one",0.215459599893373
"aimless",0.214695480513891
"pretends",0.214539992562911
"little",0.214311569345519
"young,",0.214193111555368
"naïve",0.21379269693137
"street",0.213481249992343
"Anuradha,",0.213098379618526
"himself",0.212947994142666
"rich,",0.212604745323067
"fisherman",0.211938848995231
"after",0.211663195681566
"aged",0.21138073442222
"brat,",0.211244567520148
"Pierre",0.211077538451749
"wealthy",0.211043409602244
"their",0.210902303260962
"demure,",0.210732353832995
"postman.",0.210482673687993
"industrialist,",0.210365786049404
"Shruthi,",0.210106894077142
"out",0.209825153037664
"youngster",0.209774467590448
"Thankachan",0.209768268684652
"wastrel.",0.209767928736921
"teacher",0.209346089783422
"suitor",0.209322650680034
"Izabela",0.209216160345216
",",0.208628967107507
"Frenchman,",0.208620723334991
"frequents",0.208493426724271
"villager",0.20816517116362
"also",0.208076481977135
"idealistic",0.207630970142289
"middle-aged,",0.20732668030745
"his,",0.207319558470975
"gentleman,",0.207295788203473
"grandfather,",0.207259161966658
"beautiful",0.206576690937276
"postmaster",0.206193356502161
"English",0.206183668772948
"Agnès'",0.206114965587415
"rags.",0.205954531141605
"bookseller",0.205919078584795
"old",0.205891049341389
"noble",0.205755438048175
"Nirmala's",0.20559691018878
"ill-treated",0.205595823325712
"be",0.205533960292108
"Cory,",0.205450211103183
"Eiko,",0.205409579237864
"kind-hearted",0.205210845657376
"shy",0.205169710736274
"Rahulan",0.205152450450781
"courtesan.",0.205116103525331
"person,",0.20508968417298
"miser",0.204711737295004
"miller's",0.204576151416187
"age,",0.204514569152472
"Kanwal",0.204247409202359
"he's",0.204115013781813
"hermit",0.203941418338077
"kind",0.203261494719651
"smart",0.2032562838851
"O'Grady,",0.202635425854119
"sailor",0.202607650712057
"Pignon,",0.202599404860691
"passerby",0.202383983720085
"hard-working",0.202349744883194
"do-gooder",0.202339719390686
"carefree,",0.20214728513252
"cadet.",0.201980741414768
"priest",0.201980448908607
"shepherd",0.201851704866592
"swami",0.201830412859283
"simple",0.201612584099485
"man’s",0.201399574160407
"him.",0.201337840947694
"chap,",0.200634941116169
"women.",0.200456212858374
"Frazer",0.200423596827907
"Neduvaali",0.200222703510518
"homosexual",0.200155030759935
"lady.",0.200113353467195
"daydreamer",0.200090332001007
"shopkeeper",0.200017390981805
"Denry",0.19978564853602
"girl,""",0.199630020174641
"shacked",0.199410041788305
"uneducated",0.199401482852697
"Artful",0.198757536894211
"yet",0.198631397427601
"Tannen",0.198524539228176
"wise,",0.197905636273151
"Andrzej",0.197886377486014
"threadbare",0.1977017846994
"racer,",0.197594573910199
"Junnosuke",0.197485565956161
"up",0.197311196268828
"sympathy,",0.1972997578228
"Magda",0.197130041833181
"sophisticated,",0.196852282341379
"Sambayya",0.196788634417153
"gigolo",0.196657116509072
"pickpocket,",0.196478665461347
"boatman",0.196355173314058
"beggar,",0.195819946003114
"acquaintance",0.195774706946593
"playboy",0.195583782611759
"undertaker,",0.195467952307907
"wayward,",0.195430151459504
"womaniser",0.195407481963284
"student,",0.195401835710094
"doctor",0.195072206793075
"neighbour,",0.194976036554288
"lad.",0.194793315696123
"Totò",0.194493928425399
"Rosy's",0.194491001842935
"Webster.",0.194442574965055
"boss;",0.194164806873395
"shiftless",0.194162861995818
"redhead",0.193764293989876
"Raja",0.193674995848723
"puppeteer,",0.193477168022427
"Pappu",0.193233622817042
"fancies",0.193142379430125
"Marcel.",0.193121783830442
"nobody",0.193063629296102
"Tonda",0.193027296587253
"redheaded",0.192812030689853
"dwelling,",0.192746417076654
"cross-eyed",0.192621316441891
"dog",0.192615072367099
"banker.",0.192607488280564
"Gaston,",0.19260689093361
"always",0.192454642945265
"sailor,",0.192419887590864
"Maître",0.19237398503938
"defrauded",0.192332505223889
"simpleton,",0.192313024350212
"traveler",0.192306247498521
"sensible",0.192006096178561
"fawn",0.191933176059776
"poet",0.191914028520286
"Yazhini",0.191905727214864
"Juliette,",0.19163464999267
"manor's",0.191497171965497
"drowning.",0.191406243115532
"policeman,",0.19120636128677
"peddler,",0.191184311244465
"musician,",0.191183394469106
"businesswoman,",0.191096742864449
"conman",0.191003352967603
"token.",0.190909723802189
"lame",0.190835757546519
"miserly",0.190642080903846
"person.",0.19056868274781
"couple",0.19055000136243
"nice",0.190404764201265
"Billu",0.190373579198528
"Chloé",0.190245597220098
"Keechaka",0.190179284983993
"orphanage.",0.190151235850238
"waitress",0.189668525645854
"he'd",0.189597421755585
"busker",0.189581384880067
"novelist,",0.189524268534467
"innocent",0.189428054593011
"swindling",0.189231394284356
"which",0.189200351079971
"homosexual,",0.188965706462173
"Sombat",0.188941165817459
"Som",0.188788005108721
"youth",0.188658187547502
"Chinnamma",0.188630369803895
"kindly,",0.188419802527135
"fairly",0.188318152324561
"spoon.",0.188266728963358
"François,",0.188084492097561
"Fogg",0.187683096870776
"Badru",0.187622989997852
"Raju",0.187603178347741
"muscular",0.187547009960401
"someone",0.187391064137705
"barrister,",0.187388209480131
"witty,",0.187194603111495
"amiable",0.186877597625158
"Megha",0.186846803521788
"millionaire,",0.186752515111325
"pleasant,",0.186720670356812
"fellow,",0.186680842175671
"parent.",0.186631894445175
"clerk's",0.186192237568172
"banjo,",0.186179281594162
"Lakshmanan",0.186103211099476
"mail-order",0.186028268053256
"guy,",0.185855773347608
"inventor",0.18569378740692
"Button,",0.185667594902668
"housekeeper",0.185622752748499
"idealist,",0.185590142060938
"worker",0.185575967692199
"motive,",0.185561344562854
"Fouad",0.185553760883765
"Usha.",0.185517024529749
"grubby",0.185459475165205
"poor,",0.185351234664192
"grandson,",0.18534758620733
"callous,",0.185342675990166
"Frenchman",0.18520101398428
"Mahoney.",0.185174497413158
"vagabond",0.185151496360364
"émigré",0.184885608023771
"prides",0.184759614625947
"liar.",0.184692825587224
"butcher",0.184518125741356
"bastard",0.184453512982294
"paperboy",0.184423712242682
"tom",0.184355685641804
"([[Anjali",0.184346351004962
"learning,",0.184085760191236
"courtesan",0.183976246000486
"talkative",0.183723210113438
"Glaswegian",0.183569223486079
"molester",0.183556191874276
"bystander,",0.183446268492472
"Nirmala,",0.183232281060629
"suave,",0.183230813595353
"Angelica,",0.183206055153744
"deaf-mute",0.18313510855106
"customer",0.18302630765968
"nun,",0.182825517654899
"Bimal",0.182710236953181
"Tanu",0.182683227581671
"giraffe",0.182634521388344
"Saroja's",0.182269471339564
"25-year-old",0.182189253576353
"Gower",0.18203158049857
"Brahmin,",0.181995013027185
"soldier",0.181924249207847
"Ranjith",0.181912198673087
"Chandramohan",0.181833770823326
"tastes",0.181792451987679
"Bangja,",0.18176907471
"landowner",0.181764488550861
"quiet",0.181728608945134
"spurning",0.181575931714825
"brace,",0.181521573310768
"apprenticed",0.181322465492887
"musician.",0.181317260673889
"Jaanu",0.181306044402698
"Aldin",0.181275553598716
"Jeevanlal",0.18127119032088
"humble",0.181187684174656
"anybody,",0.181044107383234
"schoolmates.",0.180967359400679
"banker",0.18091497993836
"Sylwia",0.180901693955959
"peasant",0.180844410710501
"hiccuping",0.180806521788134
"murderer",0.180778736847451
"vagrant",0.18074888227417
"he’s",0.18071256509332
"Brahmin",0.18058594673356
"astrology",0.180458000393225
"cat",0.180294783465778
"nurse",0.180103184065247
"gold-digger,",0.180097855224757
"envies",0.180025549838025
"Angus",0.179998931707045
"villager,",0.179977429931197
"Konrad,",0.179874862282785
"troublemaker.",0.179857552712121
"Vichu",0.179836184633678
"Raju,",0.17974219417921
"caller",0.179691856667556
"inspector",0.179331832649393
"preys",0.179331272331874
"Julius",0.179330444049724
"cup,",0.179328048487203
"Bhupati",0.179231585287433
"Ranjit",0.179209538458616
"miller",0.179208846202717
"horseman",0.179103982401486
"eccentric",0.178999363789138
"""Aunt",0.178938976045844
"youngster,",0.178754718977551
"vendor,",0.178354934315494
"feline.",0.17831279204615
"delivery",0.178269118847044
"foolish",0.178255066813697
"nagging",0.178250355279161
"Pang,",0.178164056618367
"thief.",0.178059202628139
"Deniz,",0.178009710765107
"spoilt",0.177996302357066
"orangutan,",0.177669715373377
"bargirl",0.177572000835167
"Bisbee",0.177550171210404
"unassuming",0.177543209590869
"pimp",0.177462666952102
"adopts",0.177449717932023
"Sidlingu",0.177416381598051
"Bhola",0.177342458787716
"shepherd,",0.177339803153127
"karate.",0.177329886517145
"loner",0.177183538535368
"had",0.177179422893138
"aristocrat",0.177161349430394
"Ivey",0.177024112719994
"Bhola.",0.177005602131094
"labourer,",0.176996646165931
"contractor",0.176996020259447
"Choya",0.176899304407106
"honest",0.176872061454261
"clerk",0.176831746519227
"bar-owner",0.17680587333182
"vagrant.",0.176793523220943
"artist",0.176712713496379
"boxer,",0.176693069732243
"Marija",0.176686933353528
"penguin",0.176657449204034
"dropout.",0.176522927388319
"tells",0.17651540208798
"student.",0.176431844465199
"happy-go-lucky",0.17641658035735
"richer",0.176403043560074
"English,",0.17638423500356
"lower-middle-class",0.176363455323964
"energetic",0.176349517690046
"butler",0.176299868538585
"Nandini",0.176256037541869
"African,",0.176215772478418
"Rahul’s",0.176169873544238
"Marko,",0.176159266232293
"tutor",0.176153866637305
"Pushpa",0.176022896376005
"shoeshine",0.176019661454931
"Cantonese",0.176016148569873
"widower",0.17595392769303
"white",0.175940873525158
"Chaudhary,",0.175939625510563
"reflective",0.175909712905809
"illiterate",0.175862920288821
"Rahul",0.175858134639604
"café",0.175828755276901
"cowboy",0.175761422046165
"attractive",0.175699837986742
"undertaker.",0.175607725359082
"retarded",0.175539706126537
"undresses,",0.175516846936816
"Parsi",0.175493859092067
"middle-class",0.175462127467282
"magician,",0.175452417148823
"Ari,",0.175450021459988
"spendthrift",0.175266976494117
"Matthias,",0.175154849425486
"Wednesday.",0.175144592727481
"assumes",0.175040588432
"into",0.174984939121755
"developmentally",0.17496962613389
"wise",0.174926369065112
"hearted",0.174878845785061
"Pierre's",0.174876508678333
"Senegalese",0.17481828984134
"Bansal",0.17481528872844
"rabbit",0.174785671472587
"Nello",0.174768157756788
"Eigil",0.174755030564259
"invalid",0.174703280402911
"skunk",0.174686793025108
"Agnes's",0.174664747169164
"terrier",0.174622913406462
