feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20
1,1,0,1,1,1,1,1,1,0,33,A,K,no,yes,41,no,A,B,YES
1,0,0,1,1,0,0,0,0,1,20,B,H,no,no,41,no,A,B,NO
1,1,0,0,0,0,0,0,0,0,45,A,,yes,no,30,no,A,,NO
0,0,1,1,0,0,1,1,0,1,32,B,,yes,yes,22,no,A,,NO
1,0,0,0,0,0,1,0,0,1,30,B,,no,no,30,no,A,,NO
1,1,1,1,1,1,1,1,1,1,33,A,J,no,yes,43,no,A,B,YES
0,0,1,0,1,0,0,1,0,1,42,A,H,no,no,30,no,A,B,NO
1,1,0,0,0,0,0,0,0,0,17,A,J,no,no,56,no,A,B,NO
1,0,0,0,0,0,0,1,0,1,27,A,H,no,no,41,no,A,B,NO
1,0,0,1,1,1,1,1,1,1,35,A,H,no,yes,22,no,A,A,YES
1,0,0,0,0,0,0,0,0,0,37,B,J,no,no,9,no,A,B,NO
1,0,0,0,0,0,0,1,1,1,30,A,J,no,yes,9,no,A,B,NO
1,1,1,1,1,1,0,1,1,1,,A,J,no,no,56,no,A,B,YES
1,0,1,1,0,0,0,0,0,1,17,A,J,no,yes,28,no,A,B,NO
0,1,0,0,1,0,1,0,0,1,,A,,no,no,30,no,A,,NO
0,0,0,1,1,1,0,1,0,1,22,A,B,no,no,56,no,A,B,NO
1,1,1,0,1,1,1,0,1,1,19,A,D,no,yes,12,no,A,B,YES
1,1,1,1,1,0,0,1,1,1,42,A,J,no,yes,45,no,A,B,YES
1,1,0,0,0,0,0,1,0,1,37,A,J,no,no,9,no,A,B,NO
1,0,0,0,1,0,1,1,0,0,28,A,J,no,no,13,no,A,B,NO
1,0,,1,1,0,1,0,0,0,22,B,I,no,no,56,no,A,B,NO
1,1,0,0,0,0,0,1,0,0,26,A,B,no,no,38,no,A,B,NO
0,0,0,0,0,0,0,0,1,0,21,B,B,no,no,53,no,A,B,NO
0,1,1,0,0,0,0,1,0,0,26,A,F,no,no,11,no,A,B,NO
1,0,0,0,0,0,0,1,0,0,39,A,C,no,no,4,no,A,B,NO
1,0,0,0,0,0,0,0,1,1,26,B,C,no,no,56,no,A,B,NO
1,1,0,0,1,0,1,1,0,0,26,B,C,no,no,11,no,A,B,NO
0,0,0,0,1,1,0,1,0,1,21,B,F,no,no,11,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,25,B,C,no,no,11,no,A,B,NO
0,0,1,0,1,1,1,1,0,1,26,B,F,no,no,56,no,A,B,NO
1,1,0,1,1,0,1,1,0,1,30,A,J,no,no,41,no,A,B,YES
1,0,0,1,1,1,1,0,0,0,19,A,C,no,no,11,no,A,A,NO
1,0,0,0,0,1,1,0,0,0,19,A,C,no,no,11,no,A,A,NO
1,0,1,1,1,1,1,1,1,1,25,A,J,no,yes,56,no,A,B,YES
0,0,1,1,0,1,0,1,1,1,23,B,J,no,no,9,no,A,B,NO
1,0,0,0,1,0,0,0,0,1,31,B,C,no,no,35,no,A,A,NO
0,1,0,0,0,0,0,1,1,1,27,B,C,no,no,56,no,A,B,NO
1,1,0,1,1,1,1,1,0,1,29,A,H,no,no,17,no,A,B,YES
1,0,1,1,1,1,0,1,1,0,38,A,J,no,no,9,no,A,A,YES
1,1,1,1,1,1,0,1,0,1,23,A,J,no,no,41,no,A,B,YES
1,1,1,0,1,0,1,1,0,0,27,B,J,no,no,41,no,A,B,NO
1,1,1,1,1,1,0,1,1,1,27,A,J,no,no,31,no,A,B,YES
1,1,1,1,1,1,0,0,1,0,42,B,J,no,no,41,no,A,B,YES
1,1,1,1,1,1,0,1,1,1,20,B,J,no,no,9,no,A,B,YES
1,0,1,1,1,1,1,1,1,1,17,A,J,no,no,41,no,A,B,YES
1,0,0,0,0,0,0,0,0,0,20,A,K,no,no,24,no,A,B,NO
1,0,0,1,1,1,1,1,0,1,30,B,C,yes,no,5,no,A,B,YES
1,0,1,1,1,1,1,1,1,1,28,A,J,no,yes,13,no,A,B,YES
1,1,0,0,1,1,1,1,0,1,26,A,J,no,no,56,no,A,B,YES
0,0,0,0,0,0,0,0,0,0,26,A,J,no,no,13,no,A,B,NO
1,0,0,1,1,1,0,1,0,1,31,B,H,no,yes,31,no,A,B,NO
1,0,1,1,0,0,1,0,0,1,40,A,J,no,no,9,no,A,B,NO
1,0,0,0,1,0,0,0,1,1,39,A,J,no,yes,52,no,A,D,NO
1,1,0,0,0,0,0,1,0,0,18,A,J,no,no,41,no,A,B,NO
1,0,0,0,0,0,0,1,0,1,24,B,K,no,no,8,no,A,B,NO
1,1,0,0,0,0,0,1,0,0,23,B,F,no,no,11,no,A,B,NO
1,0,1,1,0,0,0,1,0,1,24,B,C,no,no,11,no,A,B,NO
0,1,0,0,1,1,0,1,1,0,24,B,C,no,no,56,no,A,B,NO
1,0,1,1,0,0,0,1,1,1,27,B,C,no,,56,no,A,B,NO
0,1,1,0,0,1,0,0,1,1,24,B,C,no,no,56,no,A,B,NO
0,0,0,0,1,0,0,0,0,1,25,B,C,no,no,11,no,A,B,NO
1,0,0,0,0,0,1,0,0,1,22,B,C,no,no,56,no,A,B,NO
0,1,0,0,0,0,0,0,0,1,40,A,C,no,no,56,no,A,B,NO
0,0,1,1,0,,0,1,0,1,23,B,C,no,no,11,no,A,B,NO
1,0,0,0,0,0,0,1,0,0,29,B,F,no,no,11,no,A,B,NO
1,0,1,0,0,0,0,1,0,0,25,B,C,no,no,11,no,A,B,NO
1,0,0,1,1,0,0,1,0,0,27,B,C,no,no,11,no,A,B,NO
0,0,0,0,0,0,0,1,0,0,22,B,F,no,no,56,no,A,B,NO
1,0,0,1,1,1,1,1,1,1,28,B,J,no,no,41,no,A,A,YES
1,0,1,1,1,1,1,1,1,1,20,B,J,no,no,13,no,A,B,YES
1,1,1,1,1,1,1,1,1,1,19,A,J,no,no,28,no,A,B,YES
1,1,0,0,1,1,1,1,0,1,37,A,I,no,no,41,no,A,B,YES
1,1,1,1,1,0,1,1,1,0,35,B,J,yes,yes,41,no,A,B,YES
0,0,0,0,1,0,0,1,0,0,26,B,C,no,no,56,no,A,B,NO
0,1,1,1,1,0,1,1,0,1,23,B,C,no,no,39,no,A,B,YES
1,1,0,0,1,0,0,0,0,1,32,A,F,no,no,56,no,A,B,NO
0,0,1,0,1,0,1,0,1,1,30,B,C,no,no,35,no,A,B,NO
1,0,0,0,1,0,1,0,0,1,31,B,C,no,no,35,no,A,B,NO
0,0,0,0,0,0,1,1,0,1,28,A,C,no,no,56,no,A,B,NO
1,0,0,0,0,1,0,1,0,1,29,A,C,no,no,35,no,A,B,NO
0,1,0,0,1,0,0,1,0,1,29,A,F,no,no,35,no,A,B,NO
1,0,0,1,0,0,0,0,1,1,29,A,C,no,no,11,no,A,B,NO
1,0,0,0,0,0,1,1,0,0,31,B,C,no,no,11,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,36,B,C,no,no,11,no,A,A,NO
0,1,0,0,0,0,0,1,0,0,32,A,F,no,no,11,no,A,B,NO
0,0,0,0,0,0,0,1,0,0,34,A,F,no,no,56,no,A,B,NO
1,1,0,0,0,0,0,1,0,0,24,B,C,no,no,35,no,A,B,NO
1,0,1,0,1,0,1,1,0,1,24,A,,no,no,56,no,A,B,NO
1,0,0,0,1,0,1,1,0,1,42,B,C,no,no,35,no,A,B,NO
0,0,1,0,0,0,0,1,1,1,26,A,I,no,no,11,no,A,B,NO
1,0,0,0,1,0,1,1,0,0,27,A,C,no,no,35,no,A,B,NO
0,0,1,1,1,0,0,1,1,1,36,A,D,no,yes,12,no,A,B,NO
1,1,1,1,1,0,0,1,1,1,36,A,D,no,yes,12,no,A,B,YES
1,0,1,1,0,0,1,1,0,1,55,B,G,no,no,41,no,A,B,NO
1,1,0,1,0,0,1,0,0,0,23,A,C,no,no,56,no,A,B,NO
0,0,1,1,1,0,0,0,0,1,22,A,C,no,no,35,no,A,B,NO
1,0,0,0,0,0,0,1,0,0,42,A,H,no,no,34,no,A,A,NO
1,0,0,1,0,0,0,1,0,0,54,B,J,no,no,31,no,A,B,NO
1,1,0,0,0,0,1,1,1,1,43,A,K,no,no,41,no,A,B,NO
1,1,1,1,1,1,0,1,1,1,43,A,K,no,no,41,yes,A,B,YES
0,0,1,1,1,0,0,1,1,1,29,B,H,no,no,18,no,A,B,NO
1,0,1,0,1,0,0,1,0,1,29,B,H,no,no,18,no,A,B,NO
1,0,1,0,1,0,1,0,0,0,37,B,J,no,no,13,no,A,B,NO
1,0,0,0,1,0,1,0,0,1,39,A,J,no,no,13,no,A,B,NO
1,1,1,1,1,0,0,0,0,0,18,A,C,no,no,39,no,A,B,NO
0,1,0,1,1,1,0,1,0,1,31,B,J,no,no,41,no,A,E,NO
0,0,1,1,1,0,0,0,0,1,34,B,C,no,no,56,no,A,B,NO
0,0,1,1,1,0,1,0,0,1,22,B,J,no,no,41,no,A,B,NO
1,0,1,1,1,1,1,0,1,0,28,B,F,no,no,11,no,A,B,YES
1,0,0,0,0,0,1,1,0,1,38,B,I,no,yes,43,no,A,B,NO
1,0,0,0,0,0,1,1,0,1,28,A,J,no,no,13,no,A,B,NO
1,1,0,1,1,1,0,1,1,1,53,A,J,no,yes,41,no,A,B,YES
1,1,1,0,1,0,1,0,0,0,26,B,J,no,no,9,no,A,B,NO
1,1,1,1,1,1,0,1,1,1,37,B,J,no,no,9,no,A,B,YES
1,1,0,1,0,0,0,1,0,1,42,B,D,yes,yes,25,no,A,A,NO
1,0,0,0,0,0,0,1,0,1,43,B,G,no,no,41,no,A,B,NO
1,0,0,0,0,0,0,1,0,0,32,A,C,no,no,9,no,A,B,NO
0,1,0,1,0,0,0,1,0,0,31,B,J,no,yes,9,no,A,B,NO
1,0,1,1,1,1,1,1,1,1,53,A,J,no,no,41,no,A,B,YES
1,1,1,1,1,1,1,1,1,1,28,B,J,no,no,41,no,A,B,YES
1,0,1,1,1,1,1,1,1,1,38,B,J,no,no,47,no,A,B,YES
1,1,1,0,1,1,0,1,1,0,31,B,J,no,no,41,no,A,B,YES
1,1,1,1,0,0,0,0,0,0,31,A,B,no,yes,41,no,A,B,NO
1,1,1,1,1,0,1,1,1,1,21,A,J,no,no,13,no,A,B,YES
1,1,0,1,1,0,0,0,1,1,25,A,J,no,no,41,,A,B,NO
1,1,0,1,1,0,0,1,1,1,25,A,J,no,no,41,no,A,B,YES
1,1,1,1,1,1,1,0,1,1,60,A,J,no,yes,41,no,A,D,YES
1,0,1,1,0,0,0,0,0,0,39,B,J,no,yes,41,no,A,B,NO
1,1,1,1,1,1,1,1,1,1,53,B,J,no,no,41,no,A,B,YES
1,1,1,1,1,1,1,1,1,1,20,B,H,no,yes,41,no,A,A,YES
1,1,1,0,1,0,0,1,1,1,25,A,J,no,no,41,yes,A,B,YES
1,1,1,1,0,0,1,1,0,0,50,B,J,no,no,9,no,A,B,NO
1,0,0,1,1,1,1,1,1,1,28,A,J,no,no,41,no,A,B,YES
1,0,1,1,1,1,1,1,1,1,37,A,J,no,yes,9,no,A,B,YES
0,0,0,1,0,1,0,1,1,1,30,B,C,no,yes,11,no,A,B,NO
1,1,0,0,0,1,1,1,0,1,32,A,J,no,no,9,no,A,B,NO
1,0,1,1,0,0,0,0,0,1,34,A,J,no,no,41,no,A,B,NO
1,1,1,1,0,0,0,0,0,1,42,B,J,no,no,41,no,A,B,NO
1,1,0,0,1,1,1,1,1,1,22,A,K,no,no,24,no,A,B,YES
1,0,0,0,0,0,1,1,0,1,37,A,,yes,no,17,no,A,,NO
1,1,0,0,0,0,0,1,0,1,39,B,J,no,yes,41,no,A,A,NO
1,1,0,1,1,0,1,1,0,1,18,B,J,no,no,62,no,A,B,YES
1,0,0,1,0,0,0,0,0,0,54,A,J,no,yes,41,no,A,A,NO
1,1,0,0,0,0,0,1,0,0,42,B,J,no,no,9,no,A,B,NO
0,0,1,0,0,0,0,0,0,0,27,A,,no,no,22,no,A,,NO
1,1,1,1,1,0,0,1,0,0,22,B,J,no,no,9,no,A,B,NO
1,0,1,1,0,1,1,1,1,1,22,B,J,no,no,9,no,A,B,YES
1,1,1,1,1,1,1,0,1,1,21,A,J,no,no,9,no,A,B,YES
0,1,0,1,0,0,0,1,0,1,28,A,J,no,no,41,no,A,B,NO
1,1,1,1,1,1,1,0,1,1,17,B,C,yes,no,11,no,A,D,YES
0,1,0,0,0,0,0,0,0,0,28,B,J,no,no,41,no,A,B,NO
0,0,0,1,1,0,1,1,0,1,21,B,D,no,no,33,no,A,B,NO
1,1,1,1,1,1,1,1,1,1,31,A,C,no,no,56,no,A,B,YES
1,0,0,0,0,0,1,1,0,0,20,B,F,no,no,56,no,A,B,NO
1,0,0,1,0,0,0,0,0,0,21,B,J,no,no,9,no,A,B,NO
1,1,0,0,1,0,0,0,0,0,22,B,J,no,no,56,no,A,B,NO
0,1,0,0,0,0,0,1,1,1,21,B,J,no,no,56,no,A,B,NO
0,1,1,0,0,0,0,0,0,0,24,B,K,no,no,56,no,A,B,NO
1,0,0,0,0,0,0,1,0,0,24,B,F,no,no,11,no,A,B,NO
1,0,0,0,1,1,1,1,0,1,25,B,C,no,no,56,no,A,B,NO
1,0,0,0,0,0,0,0,0,1,17,B,F,no,no,56,no,A,B,NO
0,1,0,0,0,0,0,1,1,0,21,B,,no,no,10,no,A,,NO
1,0,0,0,0,0,0,1,0,0,23,B,B,no,no,56,no,A,B,NO
1,0,0,1,1,0,1,1,0,0,21,B,C,no,no,56,no,A,B,NO
1,0,0,0,1,0,1,1,1,1,22,B,I,no,no,56,no,A,B,NO
1,0,0,0,1,0,0,1,0,1,24,A,C,no,no,11,no,A,B,NO
0,0,1,0,1,1,0,0,1,1,34,B,I,no,no,56,no,A,B,NO
1,0,1,0,1,0,1,1,0,1,30,B,C,no,no,56,no,A,B,NO
1,0,0,0,0,0,1,1,0,1,29,A,C,no,no,11,no,A,B,NO
1,0,0,1,1,0,1,1,0,0,20,B,B,no,no,56,no,A,B,NO
0,0,1,1,0,1,0,1,1,1,23,B,J,no,no,56,no,A,B,NO
0,0,0,0,0,0,0,1,0,1,26,B,C,no,no,11,no,A,B,NO
1,0,0,1,1,1,1,1,1,1,20,B,F,no,no,56,no,A,B,YES
1,0,0,0,0,0,1,1,0,0,41,B,C,no,no,56,no,A,B,NO
1,0,0,1,0,0,1,1,0,0,24,B,C,no,no,11,no,A,B,NO
,0,0,1,0,0,0,1,0,0,35,B,C,no,no,11,no,A,B,NO
0,0,0,1,0,0,1,0,0,0,23,B,F,no,no,11,no,A,B,NO
1,0,1,0,0,0,1,0,0,0,36,B,,no,no,56,no,A,B,NO
1,1,0,0,1,0,0,1,0,0,33,B,E,no,no,29,no,A,B,NO
1,0,0,0,0,1,0,1,1,1,24,B,F,no,no,11,no,A,B,NO
,1,1,0,1,0,0,1,0,0,25,B,,no,no,56,no,A,,NO
1,0,0,0,1,1,0,1,0,1,25,B,C,no,no,11,no,A,B,NO
1,0,0,0,0,0,1,1,1,1,25,B,C,no,no,11,no,A,B,NO
0,0,0,0,0,0,1,1,0,1,24,B,C,no,no,11,no,A,B,NO
1,0,1,0,1,0,0,1,0,1,27,A,F,no,no,11,no,A,B,NO
1,0,0,0,0,0,1,1,0,0,26,B,C,no,no,11,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,26,B,I,no,no,56,no,A,B,NO
1,0,0,0,1,0,0,1,1,0,23,A,C,no,no,11,no,A,B,NO
1,1,1,0,1,0,1,1,0,1,30,B,C,no,no,56,no,A,B,YES
1,0,0,1,0,0,0,0,1,0,25,B,C,no,no,66,no,A,B,NO
1,0,0,0,0,0,0,1,0,1,23,B,B,no,no,56,no,A,B,NO
1,0,1,1,1,0,0,1,0,0,34,A,J,no,no,41,no,A,B,NO
1,0,0,1,1,0,1,1,0,1,20,A,C,no,no,56,no,A,B,NO
1,0,1,1,1,1,0,0,1,1,22,A,,no,yes,10,no,A,,YES
1,1,1,1,0,0,0,1,1,1,33,A,K,no,yes,34,no,A,A,YES
1,1,1,1,1,1,1,1,1,1,46,B,,no,no,43,no,A,B,YES
1,1,0,0,0,0,0,0,0,0,17,B,J,no,no,9,no,A,E,NO
1,1,1,0,0,0,0,1,0,0,45,A,J,no,yes,41,no,A,B,NO
0,1,1,1,0,0,0,0,1,0,26,B,C,no,no,11,no,A,E,NO
1,0,0,0,1,0,0,0,1,0,30,B,,no,no,30,no,A,,NO
1,1,0,0,0,0,0,0,0,0,32,A,,no,yes,30,no,A,,NO
1,0,1,1,1,1,1,1,1,1,38,A,J,no,no,9,no,A,B,YES
0,1,1,0,1,0,0,0,0,0,26,B,G,yes,no,20,no,A,B,NO
1,0,0,0,0,0,0,0,0,0,29,A,G,no,yes,41,no,A,B,NO
1,1,1,1,1,0,0,1,1,1,33,B,J,no,no,13,no,A,B,YES
0,1,1,0,1,1,1,0,1,1,32,A,K,no,no,34,no,A,A,YES
1,1,1,1,1,1,1,1,1,1,44,A,J,no,no,41,no,A,B,YES
0,1,0,0,0,0,1,0,0,1,47,A,J,yes,no,9,no,A,B,NO
0,0,0,,1,1,1,0,1,1,32,A,,no,no,50,no,A,,NO
0,0,0,0,0,0,0,0,0,0,40,B,J,no,no,56,no,A,B,NO
1,0,0,1,1,0,0,1,0,1,40,B,J,no,no,41,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,44,A,J,no,no,56,no,A,B,NO
1,1,1,0,1,1,,0,1,1,56,B,J,yes,no,9,no,A,B,YES
1,1,1,0,1,1,1,0,1,1,23,A,J,no,no,52,no,A,B,YES
1,1,0,1,1,0,0,1,1,1,32,A,K,no,no,31,no,A,B,YES
0,1,1,1,0,0,0,1,0,1,27,B,J,no,yes,9,no,A,B,NO
1,0,0,0,1,0,1,0,0,1,28,A,J,no,yes,9,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,40,A,H,no,no,,no,A,A,NO
1,0,1,1,1,1,0,0,1,1,45,A,J,no,no,31,no,A,B,YES
1,1,1,1,1,1,0,0,1,1,19,A,J,yes,no,9,no,A,A,YES
1,1,1,1,0,1,0,1,1,1,55,B,J,no,yes,41,no,A,E,YES
1,0,0,1,0,0,1,1,0,1,27,A,J,yes,no,13,no,,B,NO
1,1,1,1,1,1,1,0,1,1,19,A,J,yes,,9,no,A,B,YES
1,0,0,1,0,0,0,1,0,0,29,B,J,no,no,52,no,A,B,NO
1,1,1,1,1,1,1,1,1,1,33,A,J,yes,no,9,no,A,B,YES
0,0,1,1,1,1,1,1,0,0,48,A,J,no,no,43,no,A,B,NO
0,0,0,0,0,0,0,1,1,0,37,A,I,no,no,9,no,A,B,NO
1,1,1,1,1,0,0,0,1,0,30,B,C,no,no,22,no,A,B,NO
1,1,0,1,0,0,0,0,0,1,37,A,J,no,no,9,no,A,B,NO
1,0,0,1,1,0,1,1,1,1,28,A,,no,no,42,no,A,,YES
1,0,0,1,1,1,1,1,1,1,20,A,J,no,no,21,no,A,B,YES
1,1,1,1,1,1,0,0,1,1,25,A,I,no,no,41,no,A,B,YES
1,1,1,1,1,1,0,1,0,0,58,A,H,no,no,9,no,A,B,YES
1,0,1,0,0,0,0,0,0,0,36,A,J,no,no,41,no,A,B,NO
0,0,1,1,1,0,0,1,0,0,36,B,J,yes,no,41,no,A,B,NO
1,0,1,0,1,1,1,1,1,0,19,B,G,no,no,41,no,A,B,YES
1,0,1,1,1,1,0,1,1,0,19,B,G,no,no,41,yes,A,B,YES
1,0,0,1,1,0,,1,0,1,22,A,J,no,no,56,no,A,B,NO
1,1,0,0,0,0,0,1,0,0,20,B,,no,no,17,no,A,,NO
0,1,0,0,0,0,1,1,0,1,24,A,H,no,no,17,no,A,B,NO
0,0,0,1,1,0,0,1,1,0,19,B,H,no,no,17,no,A,B,NO
1,1,1,0,1,0,0,1,0,1,21,B,I,no,no,17,no,A,B,NO
0,0,0,0,0,0,0,0,0,0,20,B,H,no,no,17,no,A,B,NO
1,1,0,0,0,0,0,0,0,0,18,A,H,no,no,,no,A,B,NO
0,1,1,0,0,0,0,1,0,1,23,A,H,no,no,17,no,A,B,NO
1,1,1,0,1,1,1,1,0,1,22,B,H,no,no,17,no,A,B,YES
1,1,0,1,1,0,0,0,0,0,18,A,F,no,yes,62,no,A,B,NO
1,0,0,0,0,0,0,0,0,1,37,A,,no,no,17,no,A,,NO
1,1,1,0,1,0,0,1,0,0,18,B,H,no,no,17,no,A,D,NO
1,1,1,0,1,0,0,1,0,0,18,B,,no,no,17,no,A,D,NO
0,0,0,0,1,0,0,1,0,0,18,B,H,no,no,17,no,A,D,NO
1,1,1,0,0,0,0,1,0,0,18,B,H,no,no,17,no,A,D,NO
0,1,0,0,0,0,1,1,0,0,18,B,H,no,no,17,no,A,D,NO
1,1,1,0,0,0,0,1,,0,18,B,,no,no,17,no,A,D,NO
1,1,1,1,1,1,1,1,1,1,19,B,J,no,no,21,no,A,B,YES
1,0,0,1,1,1,1,0,1,1,55,B,J,no,no,9,no,A,B,YES
1,0,0,0,0,1,1,0,1,1,32,A,C,no,no,,no,A,A,NO
1,1,0,1,0,0,1,1,0,0,50,B,J,yes,no,9,no,A,B,NO
1,1,1,1,0,0,1,1,0,0,40,B,J,no,no,9,no,A,B,NO
